0,17
0,26
0,51
0,60
1,13
1,31
1,42
1,53
1,92
2,26
2,28
2,76
2,81
2,89
3,9
3,21
3,24
3,29
3,64
3,83
4,30
4,32
4,43
4,68
5,6
5,7
5,25
5,62
5,74
5,84
5,98
6,5
6,11
6,25
6,75
6,98
7,5
7,62
7,72
7,98
8,12
8,23
8,34
8,61
8,82
8,93
9,3
9,34
9,57
9,64
9,71
9,83
9,99
10,20
10,38
10,72
10,77
10,93
11,6
11,24
11,25
11,64
11,70
11,75
11,84
11,91
12,8
12,32
12,82
12,93
13,1
13,16
13,31
13,53
13,96
14,39
14,48
14,49
14,52
14,88
14,103
15,38
15,72
15,77
15,80
15,87
15,91
16,13
16,31
16,78
16,79
16,96
17,0
17,26
17,44
17,60
17,63
17,74
18,27
18,33
18,35
18,47
18,69
18,94
19,22
19,36
19,53
19,56
20,10
20,38
20,45
20,61
20,93
21,3
21,24
21,27
21,29
21,69
22,19
22,36
22,46
22,51
22,62
22,97
23,8
23,30
23,34
23,43
23,65
23,82
24,3
24,11
24,21
24,64
24,69
24,84
25,5
25,6
25,11
25,84
26,0
26,2
26,17
26,28
26,51
26,63
26,89
27,18
27,21
27,29
27,33
27,39
27,69
28,2
28,26
28,51
28,81
29,3
29,21
29,27
29,39
29,66
29,83
30,4
30,23
30,32
30,43
30,82
31,1
31,13
31,16
31,79
31,92
32,4
32,12
32,30
32,82
32,93
33,18
33,27
33,39
33,47
33,78
33,79
33,88
34,8
34,9
34,23
34,57
34,61
34,65
34,99
35,18
35,47
35,63
35,89
35,94
36,19
36,22
36,51
36,56
36,81
37,70
37,72
37,75
37,98
38,10
38,15
38,20
38,45
38,77
38,80
38,91
39,14
39,27
39,29
39,33
39,49
39,66
39,88
40,48
40,52
40,79
40,85
40,92
40,95
41,64
41,71
41,91
41,99
42,1
42,53
42,58
42,85
42,92
42,95
43,4
43,23
43,30
43,65
43,68
44,17
44,63
44,74
44,84
44,94
45,20
45,38
45,61
45,91
45,99
46,22
46,51
46,60
46,97
46,100
47,18
47,33
47,35
47,78
47,89
47,96
48,14
48,40
48,49
48,52
48,54
48,67
48,95
49,14
49,39
49,48
49,50
49,54
49,66
49,73
49,86
50,49
50,57
50,59
50,66
50,68
50,86
51,0
51,22
51,26
51,28
51,36
51,46
51,60
51,81
52,14
52,40
52,48
52,79
52,88
53,1
53,13
53,19
53,42
53,55
53,56
53,96
54,48
54,49
54,67
54,73
55,53
55,56
55,90
55,96
56,19
56,36
56,53
56,55
56,76
56,81
56,90
57,9
57,34
57,50
57,59
57,65
57,68
57,83
58,42
58,73
58,95
59,50
59,57
59,66
59,83
60,0
60,17
60,46
60,51
60,62
60,74
60,97
61,8
61,20
61,34
61,45
61,93
61,99
62,5
62,7
62,22
62,60
62,74
62,97
62,104
63,17
63,26
63,35
63,44
63,89
63,94
64,3
64,9
64,11
64,24
64,41
64,71
64,91
65,23
65,34
65,43
65,57
65,68
66,29
66,39
66,49
66,50
66,59
66,83
67,48
67,54
67,73
67,95
68,4
68,43
68,50
68,57
68,65
68,73
68,86
69,18
69,21
69,24
69,27
69,84
69,94
70,11
70,37
70,72
70,75
70,87
70,91
71,9
71,41
71,64
71,99
72,7
72,10
72,15
72,37
72,70
72,77
72,87
72,98
73,49
73,54
73,58
73,67
73,68
73,86
73,95
74,5
74,17
74,44
74,60
74,62
74,84
75,6
75,11
75,37
75,70
75,98
75,102
76,2
76,56
76,81
76,89
76,90
77,10
77,15
77,38
77,72
77,80
78,16
78,33
78,47
78,79
78,96
79,16
79,31
79,33
79,40
79,52
79,78
79,88
79,92
80,15
80,38
80,77
81,2
81,28
81,36
81,51
81,56
81,76
82,8
82,12
82,23
82,30
82,32
83,3
83,9
83,29
83,57
83,59
83,66
84,5
84,11
84,24
84,25
84,44
84,69
84,74
84,94
85,40
85,42
85,92
85,95
86,49
86,50
86,68
86,73
87,15
87,70
87,72
87,91
88,14
88,33
88,39
88,52
88,79
89,2
89,26
89,35
89,47
89,63
89,76
89,90
89,96
90,55
90,56
90,76
90,89
90,96
91,11
91,15
91,38
91,41
91,45
91,64
91,70
91,87
91,99
92,1
92,31
92,40
92,42
92,79
92,85
93,8
93,10
93,12
93,20
93,32
93,61
94,18
94,35
94,44
94,63
94,69
94,84
95,40
95,42
95,48
95,58
95,67
95,73
95,85
96,13
96,16
96,47
96,53
96,55
96,78
96,89
96,90
97,22
97,46
97,60
97,62
98,5
98,6
98,7
98,37
98,72
98,75
98,101
99,9
99,34
99,41
99,45
99,61
99,71
99,91
100,46
101,98
102,75
103,14
104,62
